originating_lab,submitting_lab,authors
"Yunnan Tropical and Subtropical Animal Viral Disease Laboratory, Yunnan Animal Science and Veterinary Institute, Kunming, Yunnan province, China;","Diarrhea department, National Institute for Viral Disease Control and Prevention, China CDC",Lili Li
Shandong First Medical University & Shandong Academy of Medical Sciences,Shandong First Medical University & Shandong Academy of Medical Sciences,"Weifeng Shi, Edward C. Holmes, Alice C. Hughes, Hong Zhou, Jingkai Ji, Xing Chen, Yuhai Bi, Juan Li, Tao Hu, Yanhua Chen"
"Wuhan Institute of Virology, Chinese Academy of Sciences","Wuhan Institute of Virology, Chinese Academy of Sciences","Yan Zhu, Ping Yu, Bei Li, Ben Hu, Hao-Rui Si, Xing-Lou Yang, Peng Zhou, Zheng-Li Shi"
Shandong First Medical University & Shandong Academy of Medical Sciences,"Institute of Microbiology, Chinese Academy of Sciences","Weifeng Shi, Tao Hu, Hong Zhou, Juan Li, Xing Chen, Alice Catherine Hughes, Yuhai Bi"
